country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES114,Pontevedra,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,10207,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,OTHER,NA,NA,NA,7041,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,PODEMOS-EU,NA,NA,NA,81041,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,PODEMOS-IU,NA,NA,NA,0,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,151961,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,166377,906111,530077,522997.00
Spain,ES,3,ES114,Pontevedra,Parliament,2019,VOX,Voice,Vox,3218,38119,906111,530077,522997.00
Spain,ES,3,ES120,Asturias,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,37374,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,CUP-PR,NA,NA,NA,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,EAJ-PNV,NA,NA,NA,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,12732,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,OTHER,NA,NA,NA,8353,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,PODEMOS-IU,NA,NA,NA,89301,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,129945,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,186211,972580,565231,559745.00
Spain,ES,3,ES120,Asturias,Parliament,2019,VOX,Voice,Vox,3218,88788,972580,565231,559745.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,15609,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,CUP-PR,NA,NA,NA,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,EAJ-PNV,NA,NA,NA,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,501676,329821,327089.00
